,url_link,title,hot,date
114,https://www.ptt.cc/bbs/KoreaDrama/M.1618664468.A.7CD.html,[LIVE] SBS 模範計程車 EP4,爆,04/17
115,https://www.ptt.cc/bbs/KoreaDrama/M.1618832628.A.1DF.html,[LIVE] 月升之江 EP19、EP20 最終回,爆,04/19
116,https://www.ptt.cc/bbs/KoreaDrama/M.1618833513.A.6B9.html,[LIVE] Navillera/如蝶翩翩 E9、EP10,爆,04/19
117,https://www.ptt.cc/bbs/KoreaDrama/M.1618486139.A.C38.html,[LIVE] JTBC Law School EP2,爆,04/15
118,https://www.ptt.cc/bbs/KoreaDrama/M.1618490608.A.554.html,[LIVE] Mouse EP13,爆,04/15
119,https://www.ptt.cc/bbs/KoreaDrama/M.1618576001.A.667.html,[LIVE] SBS 模範計程車 EP3,爆,04/16
120,https://www.ptt.cc/bbs/KoreaDrama/M.1618649480.A.4D7.html,[閒聊]  Mouse EP1-13,爆,04/17
121,https://www.ptt.cc/bbs/KoreaDrama/M.1618310144.A.DB2.html,[新聞] 徐睿知從OCN新劇《island》下車,爆,04/13
122,https://www.ptt.cc/bbs/KoreaDrama/M.1618312621.A.F31.html,[情報] 呂珍九'怪物' 相關採訪,爆,04/13
123,https://www.ptt.cc/bbs/KoreaDrama/M.1618404020.A.E26.html,[LIVE] Mouse EP12,爆,04/14
124,https://www.ptt.cc/bbs/KoreaDrama/M.1618141078.A.277.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP16,爆,04/11
125,https://www.ptt.cc/bbs/KoreaDrama/M.1618187788.A.5F3.html,[情報] 第57屆百想藝術大賞入圍名單 - 電視部門,爆,04/12
126,https://www.ptt.cc/bbs/KoreaDrama/M.1618225695.A.C7D.html,[LIVE] Navillera/如蝶翩翩 EP7、EP8,爆,04/12
127,https://www.ptt.cc/bbs/KoreaDrama/M.1618228333.A.960.html,[LIVE] KBS 月升之江 EP17、EP18,爆,04/12
128,https://www.ptt.cc/bbs/KoreaDrama/M.1617973996.A.D53.html,[LIVE] 怪物 EP15,爆,04/09
129,https://www.ptt.cc/bbs/KoreaDrama/M.1618053785.A.C53.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP15,爆,04/10
130,https://www.ptt.cc/bbs/KoreaDrama/M.1618060313.A.3C5.html,[LIVE] 怪物 EP16 最終回,爆,04/10
131,https://www.ptt.cc/bbs/KoreaDrama/M.1617797336.A.085.html,[閒聊] JTBC《薛西弗斯的神話》EP15(雷),爆,04/07
132,https://www.ptt.cc/bbs/KoreaDrama/M.1617798927.A.1C2.html,[LIVE] Mouse (特輯),爆,04/07
133,https://www.ptt.cc/bbs/KoreaDrama/M.1617882644.A.F68.html,[閒聊] JTBC《薛西弗斯的神話》EP16(END)(雷),爆,04/08
134,https://www.ptt.cc/bbs/KoreaDrama/M.1617885980.A.845.html,[LIVE] Mouse EP11,爆,04/08
135,https://www.ptt.cc/bbs/KoreaDrama/M.1617623019.A.12C.html,[LIVE] KBS 月升之江 EP15、EP16,爆,04/05
136,https://www.ptt.cc/bbs/KoreaDrama/M.1617623697.A.59C.html,[LIVE] Navillera/如蝶翩翩EP5、EP6,爆,04/05
137,https://www.ptt.cc/bbs/KoreaDrama/M.1617369135.A.512.html,[LIVE] 怪物 EP13,爆,04/02
138,https://www.ptt.cc/bbs/KoreaDrama/M.1617449786.A.460.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP13,爆,04/03
139,https://www.ptt.cc/bbs/KoreaDrama/M.1617455668.A.B9A.html,[LIVE] 怪物 EP14,爆,04/03
140,https://www.ptt.cc/bbs/KoreaDrama/M.1617534785.A.EEB.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP14,爆,04/04
141,https://www.ptt.cc/bbs/KoreaDrama/M.1617194392.A.228.html,[LIVE] Mouse EP9,爆,03/31
142,https://www.ptt.cc/bbs/KoreaDrama/M.1617246864.A.B7A.html,[新聞] 廢止<朝鮮驅魔師>與中國有何兩樣?,爆,04/01
143,https://www.ptt.cc/bbs/KoreaDrama/M.1617277495.A.F21.html,[閒聊] JTBC《薛西弗斯的神話》EP14(雷),爆,04/01
144,https://www.ptt.cc/bbs/KoreaDrama/M.1617282388.A.F6A.html,[LIVE] Mouse EP10,爆,04/01
145,https://www.ptt.cc/bbs/KoreaDrama/M.1617366190.A.EED.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP13 (END),爆,04/02
146,https://www.ptt.cc/bbs/KoreaDrama/M.1617016599.A.7AD.html,[LIVE] Navillera/如蝶翩翩 EP3、EP4,爆,03/29
147,https://www.ptt.cc/bbs/KoreaDrama/M.1617018852.A.DF8.html,[LIVE] KBS 月升之江 EP13、EP14,爆,03/29
148,https://www.ptt.cc/bbs/KoreaDrama/M.1617190976.A.141.html,[閒聊] JTBC《薛西弗斯的神話》EP13(雷),爆,03/31
149,https://www.ptt.cc/bbs/KoreaDrama/M.1616843304.A.C9F.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP11,爆,03/27
150,https://www.ptt.cc/bbs/KoreaDrama/M.1616848298.A.D77.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP12,爆,03/27
151,https://www.ptt.cc/bbs/KoreaDrama/M.1616850723.A.C5F.html,[LIVE] 怪物 EP12,爆,03/27
152,https://www.ptt.cc/bbs/KoreaDrama/M.1616935764.A.6DB.html,[閒聊] Penthouse S2 抓漏小論文(最後有補充)&羅蓮感情線,爆,03/28
153,https://www.ptt.cc/bbs/KoreaDrama/M.1616941528.A.5C5.html,[閒聊] 適合亦正亦邪角色的演員,爆,03/28
154,https://www.ptt.cc/bbs/KoreaDrama/M.1616675466.A.B6B.html,[閒聊] JTBC《薛西弗斯的神話》EP12(雷),爆,03/25
155,https://www.ptt.cc/bbs/KoreaDrama/M.1616676282.A.9BD.html,[LIVE] Mouse EP8,爆,03/25
156,https://www.ptt.cc/bbs/KoreaDrama/M.1616682266.A.52E.html,[新聞] 《朝鮮驅魔師》最終廢止 /SBS公告確定,爆,03/25
157,https://www.ptt.cc/bbs/KoreaDrama/M.1616760475.A.5F5.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP11,爆,03/26
158,https://www.ptt.cc/bbs/KoreaDrama/M.1616764272.A.830.html,[LIVE] 怪物 EP11,爆,03/26
159,https://www.ptt.cc/bbs/KoreaDrama/M.1616767229.A.BF7.html,[心得] Mouse EP7-8不負責任大亂猜,爆,03/26
160,https://www.ptt.cc/bbs/KoreaDrama/M.1616777308.A.06A.html,[求薦] 沒有愛情線，也沒有暴力的韓劇,爆,03/27
161,https://www.ptt.cc/bbs/KoreaDrama/M.1616587214.A.A0F.html,[閒聊] JTBC《薛西弗斯的神話》EP11(雷),爆,03/24
162,https://www.ptt.cc/bbs/KoreaDrama/M.1616589217.A.871.html,[LIVE] Mouse EP7,爆,03/24
163,https://www.ptt.cc/bbs/KoreaDrama/M.1616294428.A.FD6.html,[情報] 《機智醫生生活2》預計在5月6日首播,爆,03/21
164,https://www.ptt.cc/bbs/KoreaDrama/M.1616325351.A.442.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP10,爆,03/21
165,https://www.ptt.cc/bbs/KoreaDrama/M.1616413540.A.83B.html,[LIVE] Navillera/如蝶翩翩 EP1、EP2,爆,03/22
166,https://www.ptt.cc/bbs/KoreaDrama/M.1616414229.A.FD8.html,[LIVE] KBS 月升之江 EP11、EP12,爆,03/22
167,https://www.ptt.cc/bbs/KoreaDrama/M.1616155720.A.6E6.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP09,爆,03/19
168,https://www.ptt.cc/bbs/KoreaDrama/M.1616159180.A.E84.html,[LIVE] 怪物 EP9,爆,03/19
169,https://www.ptt.cc/bbs/KoreaDrama/M.1616238600.A.C3F.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP9,爆,03/20
170,https://www.ptt.cc/bbs/KoreaDrama/M.1616243297.A.78F.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP10,爆,03/20
171,https://www.ptt.cc/bbs/KoreaDrama/M.1616245741.A.CB3.html,[LIVE] 怪物 EP10,爆,03/20
172,https://www.ptt.cc/bbs/KoreaDrama/M.1615980872.A.247.html,[閒聊] JTBC《薛西弗斯的神話》EP09(雷),爆,03/17
173,https://www.ptt.cc/bbs/KoreaDrama/M.1615984291.A.0AD.html,[LIVE] Mouse EP5,爆,03/17
174,https://www.ptt.cc/bbs/KoreaDrama/M.1616069150.A.70E.html,[閒聊] JTBC《薛西弗斯的神話》EP10(雷),爆,03/18
